ID,Education,Income,Marital_Status,Occupation,Children,Region,Gender
174,Master's Degree,High,Single,Senior Manager,1,East,Male
175,High School,Low,Single,Student,0,West,Female
176,Master's Degree,Low,Divorced,Senior Manager,3,North,Male
177,Bachelor's Degree,Low,Single,Manager,0,Central,Female
178,Bachelor's Degree,Low,Single,Manager,1,East,Female
179,Master's Degree,Medium,Single,Senior Manager,1,East,Male
180,Master's Degree,Medium,Married,Senior Manager,0,North,Male
181,Master's Degree,Low,Married,Senior Manager,0,East,Female
182,Bachelor's Degree,Medium,Single,Manager,3,Central,Male
183,High School,Low,Single,Student,0,West,Female
184,Bachelor's Degree,Low,Married,Manager,1,Central,Male
185,Bachelor's Degree,High,Divorced,Manager,2,West,Male
186,Bachelor's Degree,Medium,Married,Manager,1,East,Male
187,Master's Degree,Low,Married,Senior Manager,2,West,Male
188,Master's Degree,Medium,Married,Senior Manager,2,North,Female
189,Bachelor's Degree,High,Married,Manager,3,West,Male
190,Bachelor's Degree,High,Married,Manager,0,Central,Female
191,Master's Degree,Low,Married,Senior Manager,3,South,Female
192,Master's Degree,High,Single,Senior Manager,1,East,Male
193,Bachelor's Degree,Medium,Married,Manager,2,Central,Male
194,Master's Degree,High,Married,Senior Manager,2,Central,Female
195,High School,Low,Single,Student,0,North,Female
196,Bachelor's Degree,Low,Divorced,Manager,1,East,Male
197,Some College,Low,Single,Entry Level,0,Central,Female
198,Master's Degree,Low,Divorced,Senior Manager,1,Central,Male
199,Master's Degree,Low,Single,Senior Manager,1,Central,Female
200,Master's Degree,High,Married,Senior Manager,1,North,Male
201,Master's Degree,Low,Divorced,Senior Manager,2,East,Male
202,Bachelor's Degree,Low,Single,Manager,0,North,Male
203,Master's Degree,High,Married,Senior Manager,2,East,Female
204,Bachelor's Degree,Low,Single,Manager,0,East,Female
205,Master's Degree,Medium,Single,Senior Manager,0,East,Female
206,Bachelor's Degree,Medium,Married,Manager,1,West,Male
207,Master's Degree,High,Divorced,Senior Manager,3,Central,Male
208,Master's Degree,Low,Married,Senior Manager,2,North,Male
209,Bachelor's Degree,High,Married,Manager,0,North,Male
210,Some College,Low,Single,Entry Level,0,North,Female
211,Bachelor's Degree,Medium,Married,Manager,0,Central,Male
212,Bachelor's Degree,High,Married,Manager,2,North,Male
213,Bachelor's Degree,Medium,Married,Manager,1,South,Female
214,Master's Degree,Low,Married,Senior Manager,0,North,Male
215,Bachelor's Degree,Medium,Married,Manager,2,West,Male
216,High School,Low,Single,Student,0,North,Male
217,Master's Degree,High,Married,Senior Manager,3,Central,Male
218,Master's Degree,High,Married,Senior Manager,2,North,Male
219,Bachelor's Degree,Low,Divorced,Manager,2,Central,Female
220,Bachelor's Degree,Low,Married,Manager,1,Central,Female
221,Bachelor's Degree,High,Married,Manager,0,North,Male
222,High School,Low,Single,Student,0,South,Male
223,Bachelor's Degree,Medium,Married,Manager,1,East,Male
224,Master's Degree,Low,Married,Senior Manager,0,West,Female
225,Bachelor's Degree,Medium,Married,Manager,0,South,Male
226,High School,Low,Single,Student,0,South,Female
227,Master's Degree,Low,Married,Senior Manager,1,South,Male
228,Bachelor's Degree,Low,Married,Manager,0,East,Male
229,High School,High,Single,Student,0,North,Female
230,Master's Degree,Low,Married,Senior Manager,1,North,Female
231,Some College,Low,Single,Entry Level,0,North,Male
232,Bachelor's Degree,Low,Married,Manager,3,North,Female
233,Master's Degree,High,Single,Senior Manager,1,North,Female
234,Master's Degree,Low,Married,Senior Manager,1,West,Male
235,Bachelor's Degree,Low,Single,Manager,0,Central,Female
236,Master's Degree,Low,Single,Senior Manager,0,West,Male
237,Bachelor's Degree,Medium,Married,Manager,0,North,Male
238,Master's Degree,Low,Single,Senior Manager,1,North,Male
239,Master's Degree,Low,Married,Senior Manager,3,East,Female
240,Master's Degree,Low,Married,Senior Manager,0,South,Female
241,Master's Degree,Low,Single,Senior Manager,2,Central,Male
242,Master's Degree,Medium,Single,Senior Manager,0,South,Female
243,Master's Degree,Medium,Married,Senior Manager,0,East,Male
244,Bachelor's Degree,Low,Single,Manager,2,South,Male
245,Master's Degree,Low,Single,Senior Manager,0,North,Male
246,High School,Low,Single,Student,0,West,Male
247,High School,Low,Single,Student,0,North,Male
248,High School,Medium,Single,Student,0,North,Female
249,Bachelor's Degree,Low,Divorced,Manager,1,Central,Female
250,Master's Degree,Medium,Married,Senior Manager,0,North,Female
251,Bachelor's Degree,High,Married,Manager,1,South,Male
252,Bachelor's Degree,Low,Married,Manager,3,South,Female
253,Some College,Low,Single,Entry Level,0,North,Female
254,Bachelor's Degree,High,Married,Manager,0,Central,Female
255,Master's Degree,Low,Divorced,Senior Manager,1,South,Female
256,Master's Degree,High,Divorced,Senior Manager,2,North,Female
257,Bachelor's Degree,High,Divorced,Manager,2,South,Female
258,Bachelor's Degree,High,Married,Manager,3,Central,Female
259,High School,Low,Single,Student,0,West,Male
260,Bachelor's Degree,Low,Married,Manager,1,Central,Female
261,Master's Degree,High,Single,Senior Manager,1,East,Female
262,Master's Degree,Low,Single,Senior Manager,0,South,Female
263,Master's Degree,Low,Married,Senior Manager,1,North,Female
264,High School,Low,Single,Student,0,Central,Male
265,Bachelor's Degree,Low,Married,Manager,2,North,Female
266,Master's Degree,Medium,Married,Senior Manager,0,West,Female
267,Master's Degree,Low,Single,Senior Manager,1,South,Female
268,Master's Degree,Low,Married,Senior Manager,0,South,Male
269,Bachelor's Degree,High,Single,Manager,1,West,Female
270,Master's Degree,Low,Single,Senior Manager,1,East,Male
271,Master's Degree,Medium,Divorced,Senior Manager,1,Central,Female
272,Master's Degree,High,Married,Senior Manager,1,East,Female
273,Bachelor's Degree,Low,Married,Manager,0,North,Female
274,Bachelor's Degree,Medium,Single,Manager,3,South,Female
275,Master's Degree,Low,Single,Senior Manager,3,West,Male
276,High School,Low,Single,Student,0,North,Male
277,Bachelor's Degree,Low,Single,Manager,0,South,Female
278,Master's Degree,Low,Divorced,Senior Manager,3,Central,Female
279,Master's Degree,Low,Single,Senior Manager,2,North,Female
280,Bachelor's Degree,High,Married,Manager,2,West,Female
281,Master's Degree,High,Married,Senior Manager,0,Central,Female
282,Some College,Low,Single,Entry Level,0,South,Female
283,Master's Degree,Low,Single,Senior Manager,3,Central,Male
284,Master's Degree,Low,Divorced,Senior Manager,1,Central,Male
285,Master's Degree,Low,Married,Senior Manager,3,North,Male
286,Master's Degree,High,Single,Senior Manager,1,North,Male
287,Bachelor's Degree,High,Married,Manager,3,West,Female
288,Some College,Low,Single,Entry Level,0,West,Female
289,High School,High,Single,Student,0,North,Female
290,High School,Medium,Single,Student,0,Central,Male
291,Master's Degree,Low,Single,Senior Manager,2,East,Female
292,Master's Degree,Low,Married,Senior Manager,1,North,Female
293,High School,Low,Single,Student,0,North,Male
294,Bachelor's Degree,Low,Married,Manager,0,North,Female
295,Master's Degree,Low,Single,Senior Manager,3,North,Female
296,High School,Medium,Single,Student,0,North,Female
297,Bachelor's Degree,Medium,Married,Manager,0,East,Male
298,Bachelor's Degree,High,Married,Manager,0,Central,Male
299,Master's Degree,Low,Married,Senior Manager,0,Central,Male
300,Master's Degree,Low,Divorced,Senior Manager,0,North,Male
301,Bachelor's Degree,Low,Single,Manager,0,West,Female
302,Master's Degree,High,Divorced,Senior Manager,2,West,Female
303,Master's Degree,Low,Married,Senior Manager,1,West,Male
304,Bachelor's Degree,Low,Married,Manager,0,North,Female
305,Master's Degree,High,Single,Senior Manager,1,Central,Male
306,High School,Low,Single,Student,0,East,Male
307,High School,Medium,Single,Student,0,South,Male
308,Master's Degree,Medium,Married,Senior Manager,1,West,Male
309,Bachelor's Degree,Low,Single,Manager,1,East,Female
310,Bachelor's Degree,Low,Married,Manager,0,South,Male
311,Bachelor's Degree,High,Married,Manager,3,Central,Male
312,Bachelor's Degree,High,Divorced,Manager,3,South,Female
313,Master's Degree,High,Married,Senior Manager,3,North,Male
314,Bachelor's Degree,High,Single,Manager,1,North,Female
315,Bachelor's Degree,High,Single,Manager,0,North,Female
316,Bachelor's Degree,High,Married,Manager,2,East,Female
317,Master's Degree,Medium,Single,Senior Manager,0,South,Female
318,Master's Degree,Low,Married,Senior Manager,0,Central,Male
319,Master's Degree,Low,Single,Senior Manager,0,West,Male
320,Master's Degree,Low,Divorced,Senior Manager,1,North,Male
321,High School,Low,Single,Student,0,West,Female
322,Bachelor's Degree,Low,Married,Manager,0,East,Male
323,Master's Degree,Low,Single,Senior Manager,0,Central,Male
324,Bachelor's Degree,Low,Married,Manager,0,West,Female
325,Bachelor's Degree,High,Divorced,Manager,3,West,Male
326,Master's Degree,Low,Single,Senior Manager,1,North,Male
327,Bachelor's Degree,High,Single,Manager,1,West,Female
328,Bachelor's Degree,High,Single,Manager,2,East,Female
329,Bachelor's Degree,Low,Married,Manager,0,East,Male
330,Master's Degree,High,Married,Senior Manager,0,West,Male
331,Master's Degree,Medium,Married,Senior Manager,1,Central,Male
332,High School,High,Single,Student,0,East,Female
333,Master's Degree,Low,Married,Senior Manager,1,South,Male
334,Bachelor's Degree,High,Divorced,Manager,0,West,Male
335,High School,Low,Single,Student,0,East,Female
336,Master's Degree,Low,Single,Senior Manager,1,West,Male
337,Master's Degree,Low,Single,Senior Manager,0,North,Male
338,Bachelor's Degree,High,Married,Manager,2,East,Male
339,Bachelor's Degree,Low,Married,Manager,0,Central,Male
340,High School,High,Single,Student,0,East,Male
341,Master's Degree,Low,Married,Senior Manager,0,South,Female
342,Master's Degree,Low,Single,Senior Manager,2,North,Female
343,Bachelor's Degree,Medium,Married,Manager,2,North,Female
344,Bachelor's Degree,Medium,Single,Manager,1,East,Female
345,Some College,Medium,Single,Entry Level,0,North,Male
346,Bachelor's Degree,High,Married,Manager,3,East,Male
347,Bachelor's Degree,Low,Divorced,Manager,1,East,Male
348,Master's Degree,Low,Married,Senior Manager,2,North,Male
349,Master's Degree,Low,Married,Senior Manager,2,North,Male
350,Master's Degree,Medium,Single,Senior Manager,0,North,Female
351,Bachelor's Degree,Medium,Married,Manager,0,North,Female
352,Master's Degree,High,Married,Senior Manager,2,Central,Female
353,Master's Degree,High,Divorced,Senior Manager,0,North,Male
354,Master's Degree,Low,Married,Senior Manager,2,West,Male
355,Master's Degree,Medium,Married,Senior Manager,1,East,Male
356,Master's Degree,Low,Single,Senior Manager,0,South,Female
357,Bachelor's Degree,Low,Single,Manager,3,East,Female
358,Bachelor's Degree,High,Single,Manager,0,East,Female
359,Master's Degree,Medium,Divorced,Senior Manager,2,East,Male
360,Bachelor's Degree,Low,Single,Manager,0,East,Female
361,Bachelor's Degree,High,Married,Manager,1,East,Male
362,Master's Degree,Low,Divorced,Senior Manager,3,West,Male
363,Master's Degree,Medium,Married,Senior Manager,0,West,Male
364,Bachelor's Degree,Low,Married,Manager,2,West,Male
365,Master's Degree,Low,Single,Senior Manager,3,East,Female
366,High School,Low,Single,Student,0,West,Female
367,Bachelor's Degree,High,Single,Manager,0,West,Female
368,Bachelor's Degree,Medium,Married,Manager,0,West,Female
369,Master's Degree,Low,Single,Senior Manager,2,Central,Female
370,Master's Degree,Low,Married,Senior Manager,0,North,Female
371,Bachelor's Degree,Low,Married,Manager,3,South,Male
372,Bachelor's Degree,High,Single,Manager,0,West,Female
373,Bachelor's Degree,Low,Married,Manager,1,East,Female
374,Master's Degree,Low,Married,Senior Manager,3,South,Female
375,Some College,Low,Single,Entry Level,0,Central,Female
376,Master's Degree,High,Married,Senior Manager,0,East,Female
377,Master's Degree,High,Single,Senior Manager,1,Central,Male
378,High School,Medium,Single,Student,0,East,Female
379,Bachelor's Degree,Low,Divorced,Manager,2,West,Female
380,Master's Degree,High,Married,Senior Manager,0,East,Male
381,Bachelor's Degree,Low,Married,Manager,1,East,Female
382,Bachelor's Degree,Low,Divorced,Manager,1,West,Female
383,Master's Degree,Low,Married,Senior Manager,2,East,Male
384,Master's Degree,High,Married,Senior Manager,2,East,Female
385,High School,Low,Single,Student,0,South,Female
386,Master's Degree,Low,Divorced,Senior Manager,1,North,Male
387,Master's Degree,High,Single,Senior Manager,1,West,Male
388,Bachelor's Degree,Low,Single,Manager,1,East,Female
389,Bachelor's Degree,Low,Married,Manager,0,East,Female
390,Bachelor's Degree,High,Married,Manager,1,North,Male
391,Bachelor's Degree,Low,Married,Manager,2,South,Female
392,Master's Degree,Medium,Married,Senior Manager,1,North,Male
393,Master's Degree,High,Single,Senior Manager,0,West,Female
394,High School,Low,Single,Student,0,Central,Female
395,Bachelor's Degree,Low,Married,Manager,0,North,Female
396,Bachelor's Degree,Low,Married,Manager,2,North,Male
397,Bachelor's Degree,Medium,Married,Manager,2,West,Female
398,Master's Degree,Low,Single,Senior Manager,0,East,Female
399,Bachelor's Degree,Low,Single,Manager,1,South,Male
400,Bachelor's Degree,Low,Married,Manager,1,North,Female
401,Master's Degree,High,Single,Senior Manager,2,South,Female
402,Master's Degree,Low,Married,Senior Manager,0,South,Female
403,Bachelor's Degree,Medium,Married,Manager,1,West,Female
404,Bachelor's Degree,Medium,Married,Manager,1,North,Female
405,High School,Low,Single,Student,0,South,Female
406,Master's Degree,Medium,Married,Senior Manager,3,West,Male
407,Bachelor's Degree,Medium,Married,Manager,0,Central,Female
408,Bachelor's Degree,Low,Single,Manager,3,East,Male
409,Bachelor's Degree,Low,Married,Manager,3,West,Female
410,Bachelor's Degree,Low,Married,Manager,1,North,Male
411,High School,Medium,Single,Student,0,South,Female
412,Master's Degree,Medium,Divorced,Senior Manager,0,North,Male
413,Master's Degree,Low,Married,Senior Manager,3,West,Male
414,High School,Low,Single,Student,0,East,Male
415,Bachelor's Degree,Medium,Married,Manager,2,East,Male
416,Master's Degree,Low,Single,Senior Manager,1,East,Male
417,High School,Low,Single,Student,0,South,Female
418,Master's Degree,Medium,Married,Senior Manager,0,South,Male
419,Bachelor's Degree,Medium,Married,Manager,1,North,Female
420,High School,Low,Single,Student,0,West,Male
421,Bachelor's Degree,Medium,Married,Manager,0,North,Female
422,Master's Degree,Low,Married,Senior Manager,0,North,Male
423,Bachelor's Degree,Low,Single,Manager,0,East,Female
424,Master's Degree,Medium,Divorced,Senior Manager,1,West,Male
425,Master's Degree,High,Married,Senior Manager,0,North,Male
426,Bachelor's Degree,High,Single,Manager,2,West,Female
427,Bachelor's Degree,High,Married,Manager,3,West,Female
428,Master's Degree,Medium,Married,Senior Manager,1,North,Female
429,Master's Degree,Low,Single,Senior Manager,3,South,Female
430,Some College,Low,Single,Entry Level,0,North,Female
431,Bachelor's Degree,Medium,Married,Manager,3,North,Male
432,Bachelor's Degree,High,Single,Manager,1,East,Male
433,Bachelor's Degree,High,Married,Manager,0,Central,Male
434,Bachelor's Degree,Low,Married,Manager,1,South,Female
435,Master's Degree,High,Single,Senior Manager,0,North,Male
436,Master's Degree,Low,Single,Senior Manager,0,South,Female
437,High School,Medium,Single,Student,0,North,Female
438,Master's Degree,Low,Married,Senior Manager,2,Central,Female
439,Bachelor's Degree,High,Married,Manager,2,South,Male
440,Bachelor's Degree,Low,Married,Manager,1,East,Female
441,Master's Degree,Low,Married,Senior Manager,0,West,Male
442,Master's Degree,High,Married,Senior Manager,0,South,Male
443,Bachelor's Degree,High,Married,Manager,0,West,Female
444,Master's Degree,Low,Single,Senior Manager,3,East,Male
445,Master's Degree,Low,Single,Senior Manager,2,North,Female
446,High School,Low,Single,Student,0,East,Female
447,Master's Degree,Medium,Married,Senior Manager,1,East,Female
448,Master's Degree,Medium,Single,Senior Manager,1,East,Female
449,Master's Degree,Medium,Married,Senior Manager,2,South,Female
450,Bachelor's Degree,Low,Single,Manager,0,Central,Male
451,Bachelor's Degree,High,Divorced,Manager,0,North,Male
452,Bachelor's Degree,Low,Single,Manager,2,West,Female
453,Master's Degree,Low,Divorced,Senior Manager,3,Central,Female
454,Master's Degree,Low,Married,Senior Manager,0,Central,Male
455,Master's Degree,Low,Married,Senior Manager,0,Central,Male
456,Master's Degree,Low,Married,Senior Manager,1,South,Male
457,Bachelor's Degree,High,Single,Manager,0,East,Male
458,Master's Degree,Medium,Married,Senior Manager,1,East,Male
459,Bachelor's Degree,Low,Married,Manager,1,South,Female
460,Bachelor's Degree,High,Single,Manager,3,Central,Male
461,Some College,Low,Single,Entry Level,0,North,Female
462,Master's Degree,Low,Single,Senior Manager,3,West,Female
463,Bachelor's Degree,Medium,Divorced,Manager,1,Central,Male
464,Some College,Low,Single,Entry Level,0,East,Female
465,Bachelor's Degree,Low,Married,Manager,2,East,Male
466,Master's Degree,Medium,Single,Senior Manager,2,North,Male
467,Master's Degree,Medium,Married,Senior Manager,0,South,Female
468,Master's Degree,High,Divorced,Senior Manager,0,Central,Female
469,High School,Low,Single,Student,0,South,Male
470,Bachelor's Degree,Medium,Married,Manager,2,East,Female
471,High School,Low,Single,Student,0,South,Male
472,Master's Degree,Low,Single,Senior Manager,1,East,Female
473,Bachelor's Degree,Low,Married,Manager,2,Central,Female
474,Master's Degree,Low,Single,Senior Manager,1,North,Male
475,Master's Degree,Low,Single,Senior Manager,2,South,Male
476,Master's Degree,Medium,Married,Senior Manager,1,North,Female
477,High School,Low,Single,Student,0,South,Male
478,Master's Degree,Medium,Married,Senior Manager,0,Central,Male
479,Master's Degree,Low,Divorced,Senior Manager,2,South,Male
480,Bachelor's Degree,Medium,Single,Manager,0,Central,Male
481,Bachelor's Degree,Low,Married,Manager,0,West,Male
482,Bachelor's Degree,Medium,Married,Manager,3,South,Female
483,Bachelor's Degree,Medium,Married,Manager,2,West,Female
484,Master's Degree,Low,Single,Senior Manager,1,West,Male
485,Bachelor's Degree,Low,Single,Manager,1,West,Female
486,Bachelor's Degree,High,Single,Manager,2,East,Female
487,High School,Low,Single,Student,0,West,Male
488,Bachelor's Degree,Low,Married,Manager,0,East,Female
489,Master's Degree,Medium,Married,Senior Manager,2,Central,Female
490,Bachelor's Degree,Medium,Single,Manager,1,Central,Female
491,Bachelor's Degree,High,Single,Manager,3,East,Female
492,Master's Degree,Medium,Married,Senior Manager,0,South,Male
493,Bachelor's Degree,Low,Single,Manager,0,East,Female
